Gene ID	Gene Name	ERR2707370	ERR2707361	ERR2707363	ERR2707367	ERR2707372	ERR2707365	ERR2707366	ERR2707368	ERR2707362	ERR2707369	ERR2707364	ERR2707371
ENSG00000003509	NDUFAF7	593	171	118	412	935	59	133	414	230	490	120	642
ENSG00000003756	RBM5	961	1188	806	796	1671	385	965	631	1559	833	961	1208
ENSG00000003987	MTMR7	3	12	7	2	6	5	8	1	13	8	7	6
ENSG00000003989	SLC7A2	1815	128	73	931	3143	16	32	585	135	900	44	2081
ENSG00000004059	ARF5	940	2347	1623	726	1681	732	1618	940	3016	892	1673	1169
ENSG00000004139	SARM1	31	21	19	36	42	4	22	21	33	16	12	25
ENSG00000004142	POLDIP2	2440	2438	1669	2355	4141	415	1013	2407	3154	2798	1039	2771
ENSG00000004399	PLXND1	1736	412	275	1209	2902	112	286	771	440	818	306	2018
ENSG00000004455	AK2	1958	4135	2765	1879	3260	773	1853	2215	5512	2617	1875	2285
ENSG00000004468	CD38	0	4	1	0	0	0	0	0	1	0	2	0
ENSG00000004478	FKBP4	2855	7595	5094	3615	4716	904	2128	3896	9915	4470	2170	3214
ENSG00000004487	KDM1A	1380	3977	2659	1146	2443	1444	3296	1112	5153	1339	3441	1551
ENSG00000004534	RBM6	1296	967	672	811	2219	314	720	797	1358	974	732	1443
ENSG00000004660	CAMKK1	75	271	201	104	121	25	39	84	317	85	43	60
ENSG00000004700	RECQL	2439	1240	697	2156	4278	297	632	2086	1597	2772	748	2780
ENSG00000004766	VPS50	441	453	296	270	805	158	307	314	524	381	345	500
ENSG00000004776	HSPB6	1	2	0	8	10	2	4	7	0	4	0	9
ENSG00000004777	ARHGAP33	60	23	23	36	97	22	48	16	51	25	59	81
ENSG00000004779	NDUFAB1	1757	2125	1490	989	3019	554	1159	1762	2852	1922	1238	1913
ENSG00000004799	PDK4	1110	22	23	389	1735	69	120	308	39	404	124	1221
ENSG00000004809	SLC22A16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004838	ZMYND10	9	1	1	11	18	1	3	10	0	14	2	12
ENSG00000004846	ABCB5	0	0	1	1	1	0	0	0	0	1	0	0
ENSG00000004848	ARX	9	0	0	0	23	2	0	1	0	4	0	8
ENSG00000004864	SLC25A13	1057	965	651	772	1793	267	655	717	1292	865	647	1209
ENSG00000004866	ST7	240	476	316	178	395	100	242	167	612	213	237	240
ENSG00000004897	CDC27	1231	1529	1065	1909	2041	332	748	1473	1983	1957	856	1365
ENSG00000004939	SLC4A1	0	0	0	2	3	0	0	0	0	0	0	1
ENSG00000004948	CALCR	3	0	1	0	5	7	6	0	1	1	1	3
ENSG00000004961	HCCS	420	674	433	500	665	97	204	681	823	738	246	472
ENSG00000004975	DVL2	589	848	500	625	1087	239	504	527	1008	654	464	723
ENSG00000005001	PRSS22	46	731	490	10	103	1053	1957	11	886	14	2218	55
ENSG00000005007	UPF1	3381	3737	2401	2624	5768	1099	2678	1806	4496	2012	2551	3981
ENSG00000005020	SKAP2	1201	1260	814	561	2176	606	1142	496	1619	656	1414	1435
ENSG00000005022	SLC25A5	5775	12278	8472	5416	10412	2513	5373	6825	16424	7571	5899	6715
ENSG00000005059	MCUB	218	180	116	191	471	53	120	249	244	280	129	259
ENSG00000005073	HOXA11	186	0	0	103	317	0	1	125	0	147	1	215
ENSG00000005075	POLR2J	350	441	366	165	631	118	323	284	601	316	326	403
ENSG00000005100	DHX33	776	1358	808	1142	1338	192	432	872	1648	1032	437	912
ENSG00000005102	MEOX1	64	48	41	11	93	104	180	15	73	14	210	64
ENSG00000005108	THSD7A	649	11	3	282	1061	3	4	203	4	272	5	768
ENSG00000005156	LIG3	772	428	273	628	1187	97	242	587	554	724	212	915
ENSG00000005175	RPAP3	690	1037	729	589	1296	268	514	697	1495	811	584	841
ENSG00000005187	ACSM3	9	1	0	1	9	4	4	7	2	1	10	1
ENSG00000005189	REXO5	158	106	73	92	298	40	141	108	103	111	125	199
ENSG00000005194	CIAPIN1	996	1837	1160	805	1799	427	897	1046	2317	1053	875	1177
ENSG00000005206	SPPL2B	439	313	233	335	907	159	321	242	420	299	324	626
ENSG00000005238	FAM214B	216	344	223	109	375	169	362	102	413	109	366	249
ENSG00000005243	COPZ2	32	72	52	16	76	22	76	22	81	30	45	48
ENSG00000005249	PRKAR2B	15	15	9	10	25	23	40	12	14	20	63	19
ENSG00000005302	MSL3	388	317	212	275	689	103	243	302	453	314	222	433
ENSG00000005339	CREBBP	1540	1722	990	1282	2405	629	1870	690	1931	898	1584	1889
ENSG00000005379	TSPOAP1	0	0	1	0	0	2	0	0	1	0	0	0
ENSG00000005381	MPO	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005421	PON1	1	0	0	0	5	0	0	0	0	3	0	5
ENSG00000005436	GCFC2	444	193	126	291	744	64	87	315	236	403	140	522
ENSG00000005448	WDR54	378	334	237	244	831	74	211	376	414	377	163	565
ENSG00000005469	CROT	202	861	593	244	346	91	185	203	1167	248	241	252
ENSG00000005471	ABCB4	11	2	0	0	22	0	3	0	2	2	3	8
ENSG00000005483	KMT2E	647	910	562	487	993	266	716	310	1141	511	603	656
ENSG00000005486	RHBDD2	1002	1303	925	837	1818	421	1061	801	1527	877	993	1298
ENSG00000005513	SOX8	81	0	0	19	142	0	0	23	0	24	1	116
ENSG00000005700	IBTK	1205	1229	812	1612	1981	354	630	1237	1570	1592	806	1322
ENSG00000005801	ZNF195	368	358	240	306	642	114	286	334	446	336	298	410
ENSG00000005810	MYCBP2	525	2423	1308	813	769	437	1355	416	2859	651	1051	588
ENSG00000005812	FBXL3	415	757	486	265	665	269	519	280	959	402	629	420
ENSG00000005844	ITGAL	0	1	0	0	0	0	1	1	4	0	0	1
ENSG00000005882	PDK2	313	43	19	281	615	31	56	275	60	280	67	436
ENSG00000005884	ITGA3	6470	10127	6803	9910	11128	2580	6324	6839	12215	7557	5573	7716
ENSG00000005889	ZFX	617	308	217	387	971	100	249	306	376	442	246	691
ENSG00000005893	LAMP2	964	3537	2435	950	1812	791	1727	977	4607	1250	1922	1100
ENSG00000005961	ITGA2B	62	1	0	23	117	0	3	16	2	17	1	70
ENSG00000005981	ASB4	8	5	8	2	14	14	22	3	9	2	10	14
ENSG00000006007	GDE1	818	1493	982	913	1403	505	1096	843	1967	999	1203	820
ENSG00000006015	REX1BD	637	510	430	341	1312	178	425	474	693	436	381	780
ENSG00000006016	CRLF1	269	20	9	101	514	8	14	104	13	96	17	334
ENSG00000006025	OSBPL7	163	353	252	115	311	257	694	98	470	109	651	223
ENSG00000006042	TMEM98	102	85	50	26	172	51	120	26	76	27	111	124
ENSG00000006047	YBX2	0	2	2	2	1	10	16	0	4	0	7	1
ENSG00000006059	KRT33A	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	MAP3K14	285	365	252	213	465	87	295	149	489	168	256	352
ENSG00000006071	ABCC8	8	0	0	2	23	0	1	1	0	3	0	11
ENSG00000006116	CACNG3	0	0	0	0	0	0	1	0	0	0	1	0
ENSG00000006118	TMEM132A	940	1734	1285	1448	1753	229	579	1138	2171	1180	617	1180
ENSG00000006125	AP2B1	3591	6205	3871	4327	6016	1199	2853	3302	7888	4051	2625	4218
ENSG00000006128	TAC1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006194	ZNF263	550	798	554	395	963	206	509	427	990	452	496	660
ENSG00000006210	CX3CL1	0	0	0	0	2	1	0	0	1	0	0	0
ENSG00000006282	SPATA20	2284	471	331	1255	4477	202	487	1103	578	1306	576	2858
ENSG00000006283	CACNA1G	2	3	3	2	6	1	5	3	5	4	8	6
ENSG00000006327	TNFRSF12A	2130	4182	2689	729	3938	1956	3928	1189	5161	1071	4712	2612
ENSG00000006377	DLX6	95	0	0	91	190	0	0	69	0	74	0	110
ENSG00000006432	MAP3K9	400	1226	706	317	651	363	1176	168	1359	214	947	461
ENSG00000006451	RALA	989	1319	954	569	1724	400	999	771	1722	856	1039	1104
ENSG00000006453	BAIAP2L1	1084	1286	918	845	1847	680	1601	762	1704	868	1626	1331
ENSG00000006459	KDM7A	84	138	83	197	147	30	72	128	158	171	80	92
ENSG00000006468	ETV1	895	112	82	633	1473	43	116	549	127	727	132	1010
ENSG00000006530	AGK	341	789	526	277	500	186	376	302	1062	364	451	347
ENSG00000006534	ALDH3B1	2112	205	155	324	3822	520	1042	299	281	354	1003	2529
ENSG00000006555	TTC22	189	468	331	180	363	212	482	148	613	142	435	250
ENSG00000006576	PHTF2	488	994	639	846	894	147	305	776	1327	974	302	554
ENSG00000006606	CCL26	11	5	6	0	34	8	21	2	7	1	24	22
ENSG00000006607	FARP2	470	568	317	583	768	157	414	358	681	484	404	529
ENSG00000006611	USH1C	2	0	0	0	6	0	3	5	0	0	0	3
ENSG00000006625	GGCT	277	1473	1028	446	454	221	462	590	2033	651	524	309
ENSG00000006634	DBF4	511	656	406	373	849	166	357	371	966	446	384	543
ENSG00000006638	TBXA2R	1	9	1	0	1	0	6	1	6	0	3	0
ENSG00000006652	IFRD1	201	1513	1019	307	358	208	433	319	2128	384	529	237
ENSG00000006659	LGALS14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	COX10	256	327	210	248	441	104	175	231	400	297	196	286
ENSG00000006704	GTF2IRD1	438	330	227	281	865	148	340	256	388	261	359	569
ENSG00000006712	PAF1	1233	1648	1109	752	2353	443	1087	1010	1987	1084	994	1422
ENSG00000006715	VPS41	1210	923	587	989	2120	342	793	857	1152	1058	723	1430
ENSG00000006740	ARHGAP44	64	4	8	80	82	3	9	49	12	63	8	55
ENSG00000006744	ELAC2	1609	2061	1401	1224	2823	386	987	1189	2653	1289	908	1878
ENSG00000006747	SCIN	19	9	0	1	33	9	15	1	8	4	20	23
ENSG00000006756	ARSD	142	147	100	111	233	92	156	89	176	100	169	168
ENSG00000006757	PNPLA4	499	133	81	159	911	53	147	253	155	284	122	604
ENSG00000006788	MYH13	0	0	0	0	0	0	0	0	0	0	3	0
ENSG00000006831	ADIPOR2	1859	2933	1935	1780	3143	852	2110	1562	3813	1953	2185	2215
ENSG00000006837	CDKL3	15	2	3	5	12	3	4	2	3	5	6	10
ENSG00000007001	UPP2	0	0	0	0	2	1	2	0	0	0	0	0
ENSG00000007038	PRSS21	1	229	156	0	0	66	126	0	333	0	141	0
ENSG00000007047	MARK4	292	470	292	329	517	139	286	244	530	278	321	393
ENSG00000007062	PROM1	10	0	0	1	9	0	1	0	0	1	0	3
ENSG00000007080	CCDC124	912	1513	1048	515	1765	327	669	932	1700	940	731	1094
ENSG00000007129	CEACAM21	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000007168	PAFAH1B1	1010	2017	1301	1377	1797	414	1044	1211	2596	1446	1058	1184
ENSG00000007171	NOS2	0	0	0	0	0	0	3	0	0	0	0	0
ENSG00000007174	DNAH9	0	1	0	0	1	0	1	0	0	0	0	0
ENSG00000007202	KIAA0100	3408	2644	1579	4316	5538	452	1660	2854	3218	3689	1363	3982
ENSG00000007216	SLC13A2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007237	GAS7	1	80	55	0	4	17	60	0	103	0	34	3
ENSG00000007255	TRAPPC6A	395	39	27	90	694	50	101	176	57	190	99	454
ENSG00000007264	MATK	194	0	0	197	304	0	4	157	0	161	2	200
ENSG00000007306	CEACAM7	2	0	1	0	2	61	123	0	1	0	147	2
ENSG00000007312	CD79B	0	0	2	0	0	0	0	0	0	0	2	0
ENSG00000007314	SCN4A	0	0	0	2	0	0	0	1	0	0	0	1
ENSG00000007341	ST7L	253	239	175	143	477	83	175	179	304	225	207	295
ENSG00000007350	TKTL1	0	0	0	0	1	0	1	0	0	0	0	2
ENSG00000007372	PAX6	159	2	1	144	281	0	3	124	0	175	2	153
ENSG00000007376	RPUSD1	548	1754	1255	683	1050	394	789	563	2189	543	788	712
ENSG00000007384	RHBDF1	384	958	686	154	732	625	1340	134	1261	106	1433	421
ENSG00000007392	LUC7L	947	609	440	534	1718	252	499	535	751	558	475	1057
ENSG00000007402	CACNA2D2	61	3	1	42	99	2	8	17	3	24	3	82
ENSG00000007516	BAIAP3	44	9	8	10	102	24	46	12	24	10	43	74
ENSG00000007520	TSR3	763	1234	890	558	1499	310	568	799	1666	742	589	941
ENSG00000007541	PIGQ	539	403	315	502	995	151	418	386	492	411	355	656
ENSG00000007545	CRAMP1	222	303	195	183	376	112	227	127	321	140	218	241
ENSG00000007866	TEAD3	390	760	480	212	714	355	824	208	899	236	810	483
ENSG00000007908	SELE	1	0	0	0	0	0	0	0	0	0	0	2
ENSG00000007923	DNAJC11	692	1433	882	591	1119	277	717	552	1739	678	696	777
ENSG00000007933	FMO3	0	0	0	0	0	0	2	1	0	0	1	0
ENSG00000007944	MYLIP	363	240	148	218	593	84	186	183	312	196	191	389
ENSG00000007952	NOX1	4	3	6	6	7	3	28	2	10	6	3	5
ENSG00000007968	E2F2	301	382	219	163	511	275	764	137	457	135	697	318
ENSG00000008018	PSMB1	3660	4197	3135	2146	6506	1182	2745	3343	5924	3602	2744	4151
ENSG00000008056	SYN1	1	0	1	0	2	0	1	0	2	0	0	1
ENSG00000008083	JARID2	423	633	416	291	801	201	659	246	801	275	506	553
ENSG00000008086	CDKL5	223	61	29	112	316	19	92	70	69	92	89	266
ENSG00000008118	CAMK1G	0	0	0	2	0	3	3	0	1	0	1	0
ENSG00000008128	CDK11A	24	53	28	37	75	19	55	34	53	32	39	32
ENSG00000008130	NADK	672	1405	987	651	1227	399	995	607	1876	621	1005	841
ENSG00000008196	TFAP2B	0	0	0	0	1	0	1	0	0	0	0	0
ENSG00000008197	TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	DLEC1	6	1	0	2	5	3	6	1	3	2	5	5
ENSG00000008256	CYTH3	737	671	446	644	1250	294	656	545	885	611	598	896
ENSG00000008277	ADAM22	93	2	1	78	158	3	0	75	0	98	4	99
ENSG00000008282	SYPL1	1430	6452	4413	1276	2361	1222	2284	1437	8610	1834	2811	1483
ENSG00000008283	CYB561	873	1096	731	627	1444	280	678	569	1399	686	613	976
ENSG00000008294	SPAG9	2104	1928	1198	1614	3427	582	1299	1462	2389	1787	1311	2426
ENSG00000008300	CELSR3	506	587	352	427	922	168	504	218	680	316	516	680
ENSG00000008311	AASS	289	311	200	268	510	86	184	216	461	282	208	329
ENSG00000008323	PLEKHG6	9	170	142	5	28	155	335	1	240	5	363	16
ENSG00000008324	SS18L2	201	333	200	167	339	90	196	234	429	302	188	235
ENSG00000008382	MPND	208	116	60	148	373	37	106	176	146	169	88	250
ENSG00000008394	MGST1	983	2959	2079	949	1718	787	1495	1384	4029	1542	2002	1091
ENSG00000008405	CRY1	487	338	255	410	786	101	155	375	459	445	209	481
ENSG00000008438	PGLYRP1	2	0	0	5	5	0	6	2	0	4	3	6
ENSG00000008441	NFIX	182	509	309	500	342	82	236	343	606	363	239	263
ENSG00000008513	ST3GAL1	1183	2365	1436	852	1901	812	2375	655	2775	773	2016	1352
ENSG00000008516	MMP25	1	1	2	3	4	6	11	1	9	3	18	7
ENSG00000008517	IL32	13	22	15	6	28	4	28	12	33	5	20	25
ENSG00000008710	PKD1	516	645	448	1015	963	286	619	536	862	632	616	680
ENSG00000008735	MAPK8IP2	86	10	5	13	175	26	22	8	17	12	46	135
ENSG00000008838	MED24	1303	1656	1125	1618	2249	326	845	1288	2130	1401	883	1516
ENSG00000008853	RHOBTB2	1353	872	580	2573	2267	184	541	1871	1003	2214	400	1623
ENSG00000008869	HEATR5B	797	471	290	872	1332	166	385	591	606	805	359	968
ENSG00000008952	SEC62	3202	1570	1207	2483	5633	468	975	3024	2217	3820	1113	3625
ENSG00000008988	RPS20	7334	4622	3261	3112	14255	1341	3058	7226	6461	7480	3424	8906
ENSG00000009307	CSDE1	8311	14652	9304	9190	14014	2490	5789	9455	19363	12057	5876	9527
ENSG00000009335	UBE3C	1412	6032	3797	2041	2375	1160	2773	1563	7711	1924	3010	1652
ENSG00000009413	REV3L	773	469	299	646	1271	118	337	440	766	651	351	948
ENSG00000009694	TENM1	1	14	5	1	1	3	16	0	14	1	15	1
ENSG00000009709	PAX7	245	1495	949	171	398	451	1123	154	1842	214	1084	292
ENSG00000009724	MASP2	6	17	13	8	13	9	17	3	24	8	19	8
ENSG00000009765	IYD	0	1	1	0	0	3	2	0	2	0	7	0
ENSG00000009780	FAM76A	64	103	55	32	115	31	70	29	118	23	59	69
ENSG00000009790	TRAF3IP3	1	1	1	0	2	2	10	2	3	2	5	3
ENSG00000009830	POMT2	317	487	359	266	502	96	254	198	692	217	245	335
ENSG00000009844	VTA1	1196	1726	1175	742	1991	552	958	904	2376	1085	1251	1326
ENSG00000009950	MLXIPL	54	1	5	42	111	1	2	23	0	26	2	69
ENSG00000009954	BAZ1B	4545	3902	2397	4112	7375	899	2635	3441	4741	4154	2296	5289
ENSG00000010017	RANBP9	574	741	497	395	966	319	614	370	901	404	705	655
ENSG00000010030	ETV7	6	11	9	8	35	7	15	10	12	10	21	8
ENSG00000010072	SPRTN	223	272	167	172	408	75	151	163	333	250	221	260
ENSG00000010165	EEF1AKNMT	762	926	653	633	1333	219	542	637	1210	673	556	869
ENSG00000010219	DYRK4	17	183	97	5	12	47	108	6	224	5	99	17
ENSG00000010244	ZNF207	3166	2880	1937	2042	5568	947	1843	1999	3907	2447	1970	3677
ENSG00000010256	UQCRC1	2553	4181	2846	2397	4931	912	2013	2724	5337	2979	2012	3286
ENSG00000010270	STARD3NL	885	1382	933	676	1568	348	716	851	1863	986	879	1083
ENSG00000010278	CD9	1788	4730	3479	1113	3102	1546	2777	1523	6350	1665	3311	2032
ENSG00000010282	HHATL	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010292	NCAPD2	4014	5620	3650	4195	6508	1651	3928	3331	7164	3947	3551	4360
ENSG00000010295	IFFO1	1	11	7	1	6	5	13	3	8	2	13	2
ENSG00000010310	GIPR	21	33	20	9	43	35	54	13	43	15	55	27
ENSG00000010318	PHF7	72	41	39	48	115	7	22	37	67	54	15	84
ENSG00000010319	SEMA3G	28	0	4	34	74	1	4	30	4	45	0	57
ENSG00000010322	NISCH	994	912	589	963	1831	264	764	636	1152	770	673	1266
ENSG00000010327	STAB1	2	0	1	0	6	1	2	1	2	0	0	2
ENSG00000010361	FUZ	110	71	48	65	183	35	93	63	81	70	93	134
ENSG00000010379	SLC6A13	2	3	1	0	8	0	7	1	3	4	6	7
ENSG00000010404	IDS	186	1809	1063	153	346	622	1407	107	2259	141	1457	226
ENSG00000010438	PRSS3	0	866	627	0	2	421	908	0	1115	0	877	0
ENSG00000010539	ZNF200	230	296	183	183	324	80	167	171	388	192	154	235
ENSG00000010610	CD4	0	2	1	0	1	0	2	0	1	0	2	0
ENSG00000010626	LRRC23	74	27	18	33	133	14	38	32	32	57	34	95
ENSG00000010671	BTK	1	0	0	0	0	1	0	0	0	0	1	0
ENSG00000010704	HFE	99	199	152	276	192	28	56	264	299	318	54	138
ENSG00000010803	SCMH1	464	456	272	302	768	125	343	274	548	294	313	504
ENSG00000010810	FYN	344	179	119	199	605	69	188	206	217	241	218	336
ENSG00000010818	HIVEP2	179	1336	723	231	275	265	811	128	1573	204	740	204
ENSG00000010932	FMO1	5	5	5	5	10	1	2	7	5	11	4	3
ENSG00000011007	ELOA	711	2271	1441	738	1152	372	981	696	2765	771	851	790
ENSG00000011009	LYPLA2	490	2371	1522	592	1002	553	1035	649	2845	684	1186	666
ENSG00000011021	CLCN6	200	276	191	156	308	104	259	95	363	115	271	199
ENSG00000011028	MRC2	107	69	48	58	195	7	17	36	82	70	11	121
ENSG00000011052	NME1-NME2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011083	SLC6A7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011105	TSPAN9	319	429	321	339	621	80	226	304	516	350	185	436
ENSG00000011114	BTBD7	592	1015	600	540	1048	295	745	410	1199	525	713	734
ENSG00000011132	APBA3	249	173	107	207	481	78	120	164	219	157	164	331
ENSG00000011143	MKS1	317	216	132	221	524	60	152	213	290	262	146	392
ENSG00000011198	ABHD5	262	686	437	372	463	346	611	394	927	495	725	309
ENSG00000011201	ANOS1	176	0	0	50	330	0	1	69	0	67	0	211
ENSG00000011243	AKAP8L	576	717	542	419	1033	204	491	446	908	531	464	692
ENSG00000011258	MBTD1	518	198	181	361	977	76	126	254	318	366	210	657
ENSG00000011260	UTP18	928	1168	801	816	1757	194	414	1088	1548	1162	492	1171
ENSG00000011275	RNF216	961	890	604	1115	1769	222	563	872	1129	1092	511	1167
ENSG00000011295	TTC19	721	481	363	612	1290	197	412	596	673	735	452	847
ENSG00000011304	PTBP1	6205	10071	6483	6208	10457	2671	6145	4791	13015	5440	6444	7079
ENSG00000011332	DPF1	51	65	46	70	96	6	34	53	91	55	21	67
ENSG00000011347	SYT7	46	110	90	22	82	62	162	21	141	22	208	57
ENSG00000011376	LARS2	783	851	548	644	1341	198	538	559	982	679	469	899
ENSG00000011405	PIK3C2A	1184	866	555	784	1895	290	599	622	1225	881	741	1420
ENSG00000011422	PLAUR	617	880	604	221	1117	414	925	269	1136	276	957	736
ENSG00000011426	ANLN	3613	5832	3671	3164	6291	1615	3415	2613	7549	3440	4067	4308
ENSG00000011451	WIZ	918	1305	858	871	1471	303	721	558	1520	656	721	1142
ENSG00000011454	RABGAP1	998	1664	1024	831	1558	595	1501	743	2005	960	1569	1021
ENSG00000011465	DCN	0	0	0	0	0	2	2	0	0	0	3	0
ENSG00000011478	QPCTL	172	256	182	241	320	55	100	203	264	243	108	228
ENSG00000011485	PPP5C	1254	1910	1284	967	2283	496	901	982	2454	1069	1026	1487
ENSG00000011523	CEP68	340	75	46	382	507	24	57	297	92	348	49	392
ENSG00000011566	MAP4K3	1524	706	474	1170	2789	298	496	952	982	1205	673	1917
ENSG00000011590	ZBTB32	15	16	12	6	16	9	32	2	12	7	23	15
ENSG00000011600	TYROBP	0	0	0	0	0	1	3	0	0	0	0	0
ENSG00000011638	TMEM159	167	321	186	97	303	121	194	120	326	128	272	211
ENSG00000011677	GABRA3	87	150	98	3	133	69	129	6	198	8	180	108
ENSG00000012048	BRCA1	1386	1132	797	1289	2097	339	864	1071	1507	1342	903	1448
ENSG00000012061	ERCC1	822	1097	730	794	1450	137	519	1008	1340	1030	446	963
ENSG00000012124	CD22	47	0	0	0	69	1	7	0	1	0	6	38
ENSG00000012171	SEMA3B	594	939	671	91	1020	751	1719	82	1222	74	1604	735
ENSG00000012174	MBTPS2	430	378	235	534	638	66	129	519	535	638	137	430
ENSG00000012211	PRICKLE3	101	511	327	132	162	95	145	92	592	118	210	135
ENSG00000012223	LTF	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012232	EXTL3	1297	2282	1409	1925	2130	412	980	1329	2815	1525	835	1515
ENSG00000012504	NR1H4	0	0	1	0	1	0	0	0	0	0	0	0
ENSG00000012660	ELOVL5	1267	3368	2141	2162	2141	646	1349	2000	4395	2408	1458	1470
ENSG00000012779	ALOX5	18	67	33	10	30	120	187	4	66	8	284	14
ENSG00000012817	KDM5D	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012822	CALCOCO1	506	142	93	311	876	240	488	312	228	379	479	605
ENSG00000012963	UBR7	690	1319	889	886	1215	327	722	722	1679	888	739	801
ENSG00000012983	MAP4K5	1595	1176	822	1508	2652	387	775	1165	1684	1508	921	1791
ENSG00000013016	EHD3	81	22	6	35	122	4	23	25	24	51	10	99
ENSG00000013275	PSMC4	1723	2206	1535	1359	3127	514	1099	1658	2786	1855	1130	2168
ENSG00000013288	MAN2B2	372	760	450	364	620	309	708	256	928	270	680	464
ENSG00000013293	SLC7A14	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000013297	CLDN11	1	3	0	0	3	4	2	0	3	1	4	1
ENSG00000013306	SLC25A39	3887	3471	2392	4147	7040	699	1688	4186	4369	4501	1819	4716
ENSG00000013364	MVP	1372	1897	1287	532	2495	1264	3327	514	2297	515	2824	1608
ENSG00000013374	NUB1	549	1474	940	401	934	570	1130	372	1836	504	1205	622
ENSG00000013375	PGM3	539	490	300	507	901	158	369	591	569	759	374	567
ENSG00000013392	RWDD2A	59	22	20	71	189	16	17	88	30	97	21	85
